goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkUUIDV4NewString-12                  	 4789603	       235.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 5191450	       233.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 5159509	       248.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 5049729	       237.2 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 4944326	       238.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 5052696	       238.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 5029551	       242.2 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 4902790	       241.2 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 5016949	       235.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	 5097081	       239.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2150930	       547.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2101501	       564.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2238044	       569.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2142374	       547.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2199920	       530.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2249768	       527.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2265142	       522.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2280008	       529.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2281988	       531.9 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 2238631	       534.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 4791070	       231.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5297893	       224.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5363101	       224.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5321762	       225.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5387782	       222.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5373045	       224.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5361586	       223.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5382422	       223.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5362779	       223.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	 5374140	       223.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2395050	       501.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2414612	       500.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2368546	       503.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2388276	       498.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2411931	       500.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2373265	       502.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2372541	       499.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 2415902	       497.8 ns/op	      64 B/op	       2 allocs/op
