goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkUUIDV4NewString-12                  	20589634	        58.41 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20535988	        58.19 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20512454	        58.26 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20527250	        58.45 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20533924	        58.44 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20628348	        58.43 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20552167	        58.47 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20504013	        58.43 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20183698	        58.31 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewString-12                  	20498059	        58.49 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 6886088	       176.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 6987528	       171.9 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7136592	       170.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7062099	       169.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7037773	       169.9 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7055796	       168.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7096594	       167.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7212903	       168.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7097523	       168.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4NewStringParallel-12          	 7242613	       167.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	25947745	        45.48 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26460956	        45.39 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26345712	        45.57 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	24410212	        46.78 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26547228	        45.58 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26388463	        45.57 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26512696	        45.84 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26491820	        45.41 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26492917	        45.58 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGenerator-12             	26557951	        45.42 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 7975178	       145.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8342491	       145.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8280199	       145.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8244421	       145.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8268204	       146.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8327806	       144.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8376153	       145.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8332460	       143.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8333110	       144.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV4ReuseGeneratorParallel-12     	 8292284	       143.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7NewString-12                  	13397697	        88.06 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13641801	        87.72 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13701692	        88.06 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13660676	        87.91 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13739389	        88.24 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13629664	        88.07 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13625196	        88.02 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13616692	        87.86 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13593439	        88.22 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewString-12                  	13662069	        87.71 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6090460	       194.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6198674	       193.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6219838	       191.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6228103	       192.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6265278	       192.0 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6212364	       191.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6266721	       191.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6229522	       192.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6276343	       192.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6269487	       191.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	15777553	        74.15 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16085611	        73.90 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16112167	        74.03 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16269825	        73.95 ns/op	      64 B/op	       2 allocs/op
