goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkULIDRandom-12                       	11591216	       102.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11708625	       103.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11634040	       102.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11598175	       102.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11654001	       102.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11684238	       103.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11703230	       102.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11530833	       102.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11615858	       102.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11631681	       103.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4278097	       278.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4368967	       277.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4319722	       275.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4286172	       284.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4331916	       274.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4301714	       281.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4264668	       275.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4288228	       280.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4309344	       278.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4405818	       277.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	17919640	        65.56 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	17889398	        65.57 ns/op	      48 B/op	       2 allocs/op
