goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/compression
cpu: Apple M4 Pro
BenchmarkCompressorsCompress/json/small/gzip-12    	   33115	     36803 ns/op	  35.51 MB/s	         0.1943 compressed/original	       254.0 compressed_bytes	  814227 B/op	      20 allocs/op
BenchmarkCompressorsCompress/json/small/zlib-12    	   32384	     37836 ns/op	  34.54 MB/s	         0.1852 compressed/original	       242.0 compressed_bytes	  814649 B/op	      23 allocs/op
BenchmarkCompressorsCompress/json/small/deflate-12 	   33301	     37080 ns/op	  35.25 MB/s	         0.1806 compressed/original	       236.0 compressed_bytes	  813987 B/op	      18 allocs/op
BenchmarkCompressorsCompress/json/small/zstd-12    	   15675	     74877 ns/op	  17.46 MB/s	         0.1943 compressed/original	       254.0 compressed_bytes	 2345222 B/op	      48 allocs/op
BenchmarkCompressorsCompress/json/small/lz4-12     	 1000000	      1139 ns/op	1147.02 MB/s	         0.2907 compressed/original	       380.0 compressed_bytes	     985 B/op	       6 allocs/op
BenchmarkCompressorsCompress/json/small/snappy-12  	  196003	      6439 ns/op	 202.98 MB/s	         0.2762 compressed/original	       361.0 compressed_bytes	  147984 B/op	       5 allocs/op
BenchmarkCompressorsCompress/json/medium/gzip-12   	    5022	    232083 ns/op	 213.07 MB/s	         0.07958 compressed/original	      3935 compressed_bytes	  821905 B/op	      24 allocs/op
BenchmarkCompressorsCompress/json/medium/zlib-12   	    4972	    239761 ns/op	 206.24 MB/s	         0.07933 compressed/original	      3923 compressed_bytes	  821863 B/op	      26 allocs/op
BenchmarkCompressorsCompress/json/medium/deflate-12         	    5269	    228449 ns/op	 216.46 MB/s	         0.07921 compressed/original	      3917 compressed_bytes	  821633 B/op	      22 allocs/op
BenchmarkCompressorsCompress/json/medium/zstd-12            	    9544	    125063 ns/op	 395.39 MB/s	         0.05610 compressed/original	      2774 compressed_bytes	 2351093 B/op	      48 allocs/op
BenchmarkCompressorsCompress/json/medium/lz4-12             	   37276	     32258 ns/op	1532.92 MB/s	         0.1695 compressed/original	      8384 compressed_bytes	   10111 B/op	       6 allocs/op
BenchmarkCompressorsCompress/json/medium/snappy-12          	   44126	     27508 ns/op	1797.60 MB/s	         0.1336 compressed/original	      6605 compressed_bytes	  154384 B/op	       5 allocs/op
BenchmarkCompressorsCompress/json/large/gzip-12             	     344	   3480521 ns/op	 226.03 MB/s	         0.07124 compressed/original	     56042 compressed_bytes	  944785 B/op	      28 allocs/op
BenchmarkCompressorsCompress/json/large/zlib-12             	     332	   3610855 ns/op	 217.87 MB/s	         0.07122 compressed/original	     56030 compressed_bytes	  944745 B/op	      30 allocs/op
BenchmarkCompressorsCompress/json/large/deflate-12          	     352	   3392984 ns/op	 231.86 MB/s	         0.07121 compressed/original	     56024 compressed_bytes	  944513 B/op	      26 allocs/op
BenchmarkCompressorsCompress/json/large/zstd-12             	    1706	    652046 ns/op	1206.52 MB/s	         0.05706 compressed/original	     44889 compressed_bytes	19670435 B/op	      92 allocs/op
BenchmarkCompressorsCompress/json/large/lz4-12              	    2360	    506451 ns/op	1553.37 MB/s	         0.1612 compressed/original	    126791 compressed_bytes	  134466 B/op	       6 allocs/op
BenchmarkCompressorsCompress/json/large/snappy-12           	    3232	    366504 ns/op	2146.52 MB/s	         0.1378 compressed/original	    108383 compressed_bytes	  462864 B/op	       9 allocs/op
BenchmarkCompressorsCompress/text/small/gzip-12             	   30739	     38988 ns/op	  26.26 MB/s	         0.3115 compressed/original	       319.0 compressed_bytes	  814738 B/op	      21 allocs/op
BenchmarkCompressorsCompress/text/small/zlib-12             	   32702	     40442 ns/op	  25.32 MB/s	         0.2998 compressed/original	       307.0 compressed_bytes	  814697 B/op	      23 allocs/op
BenchmarkCompressorsCompress/text/small/deflate-12          	   31104	     39821 ns/op	  25.72 MB/s	         0.2939 compressed/original	       301.0 compressed_bytes	  814466 B/op	      19 allocs/op
BenchmarkCompressorsCompress/text/small/zstd-12             	   15747	     78697 ns/op	  13.01 MB/s	         0.3027 compressed/original	       310.0 compressed_bytes	 2345240 B/op	      48 allocs/op
BenchmarkCompressorsCompress/text/small/lz4-12              	 1200236	       998.3 ns/op	1025.76 MB/s	         0.4355 compressed/original	       446.0 compressed_bytes	    1068 B/op	       6 allocs/op
BenchmarkCompressorsCompress/text/small/snappy-12           	  218509	      5670 ns/op	 180.61 MB/s	         0.4326 compressed/original	       443.0 compressed_bytes	  148048 B/op	       5 allocs/op
BenchmarkCompressorsCompress/text/medium/gzip-12            	   10000	    110075 ns/op	 446.53 MB/s	         0.03379 compressed/original	      1661 compressed_bytes	  817809 B/op	      23 allocs/op
BenchmarkCompressorsCompress/text/medium/zlib-12            	   10000	    119194 ns/op	 412.37 MB/s	         0.03355 compressed/original	      1649 compressed_bytes	  817768 B/op	      25 allocs/op
BenchmarkCompressorsCompress/text/medium/deflate-12         	   10000	    106801 ns/op	 460.22 MB/s	         0.03343 compressed/original	      1643 compressed_bytes	  817540 B/op	      21 allocs/op
BenchmarkCompressorsCompress/text/medium/zstd-12            	   12018	     99689 ns/op	 493.05 MB/s	         0.02181 compressed/original	      1072 compressed_bytes	 2347127 B/op	      48 allocs/op
BenchmarkCompressorsCompress/text/medium/lz4-12             	   79340	     14956 ns/op	3286.47 MB/s	         0.05703 compressed/original	      2803 compressed_bytes	    3766 B/op	       6 allocs/op
BenchmarkCompressorsCompress/text/medium/snappy-12          	   62599	     19196 ns/op	2560.50 MB/s	         0.08059 compressed/original	      3961 compressed_bytes	  151696 B/op	       5 allocs/op
BenchmarkCompressorsCompress/text/large/gzip-12             	    1047	   1149411 ns/op	 684.20 MB/s	         0.02681 compressed/original	     21083 compressed_bytes	  879251 B/op	      27 allocs/op
BenchmarkCompressorsCompress/text/large/zlib-12             	     938	   1291299 ns/op	 609.02 MB/s	         0.02679 compressed/original	     21071 compressed_bytes	  879210 B/op	      29 allocs/op
BenchmarkCompressorsCompress/text/large/deflate-12          	    1125	   1070859 ns/op	 734.39 MB/s	         0.02679 compressed/original	     21065 compressed_bytes	  878978 B/op	      25 allocs/op
BenchmarkCompressorsCompress/text/large/zstd-12             	    3068	    365913 ns/op	2149.23 MB/s	         0.009397 compressed/original	      7390 compressed_bytes	19152953 B/op	      82 allocs/op
BenchmarkCompressorsCompress/text/large/lz4-12              	    5263	    221996 ns/op	3542.55 MB/s	         0.04651 compressed/original	     36579 compressed_bytes	   41644 B/op	       6 allocs/op
BenchmarkCompressorsCompress/text/large/snappy-12           	    6584	    182951 ns/op	4298.59 MB/s	         0.07870 compressed/original	     61890 compressed_bytes	  333072 B/op	       9 allocs/op
BenchmarkCompressorsCompress/binary/small/gzip-12           	   22093	     61509 ns/op	  16.65 MB/s	         0.6221 compressed/original	       637.0 compressed_bytes	  815764 B/op	      22 allocs/op
BenchmarkCompressorsCompress/binary/small/zlib-12           	   19831	     60238 ns/op	  17.00 MB/s	         0.6104 compressed/original	       625.0 compressed_bytes	  815722 B/op	      24 allocs/op
BenchmarkCompressorsCompress/binary/small/deflate-12        	   19746	     57382 ns/op	  17.85 MB/s	         0.6045 compressed/original	       619.0 compressed_bytes	  815492 B/op	      20 allocs/op
BenchmarkCompressorsCompress/binary/small/zstd-12           	   13164	     93031 ns/op	  11.01 MB/s	         0.6660 compressed/original	       682.0 compressed_bytes	 2347126 B/op	      49 allocs/op
BenchmarkCompressorsCompress/binary/small/lz4-12            	  745794	      1562 ns/op	 655.39 MB/s	         0.8193 compressed/original	       839.0 compressed_bytes	    1496 B/op	       6 allocs/op
BenchmarkCompressorsCompress/binary/small/snappy-12         	  196036	      6137 ns/op	 166.85 MB/s	         0.7920 compressed/original	       811.0 compressed_bytes	  148496 B/op	       5 allocs/op
BenchmarkCompressorsCompress/binary/medium/gzip-12          	    3724	    319016 ns/op	 154.07 MB/s	         0.1055 compressed/original	      5186 compressed_bytes	  830098 B/op	      25 allocs/op
BenchmarkCompressorsCompress/binary/medium/zlib-12          	    3636	    325916 ns/op	 150.81 MB/s	         0.1053 compressed/original	      5174 compressed_bytes	  830054 B/op	      27 allocs/op
BenchmarkCompressorsCompress/binary/medium/deflate-12       	    3852	    315549 ns/op	 155.77 MB/s	         0.1051 compressed/original	      5168 compressed_bytes	  829827 B/op	      23 allocs/op
BenchmarkCompressorsCompress/binary/medium/zstd-12          	    7171	    170836 ns/op	 287.72 MB/s	         0.1003 compressed/original	      4932 compressed_bytes	 2403958 B/op	      49 allocs/op
BenchmarkCompressorsCompress/binary/medium/lz4-12           	   29335	     41066 ns/op	1196.91 MB/s	         0.2249 compressed/original	     11055 compressed_bytes	   12961 B/op	       6 allocs/op
BenchmarkCompressorsCompress/binary/medium/snappy-12        	   31437	     38028 ns/op	1292.52 MB/s	         0.2168 compressed/original	     10656 compressed_bytes	  158480 B/op	       5 allocs/op
BenchmarkCompressorsCompress/binary/large/gzip-12           	     339	   3603652 ns/op	 218.23 MB/s	         0.07379 compressed/original	     58027 compressed_bytes	  944785 B/op	      28 allocs/op
BenchmarkCompressorsCompress/binary/large/zlib-12           	     325	   3672674 ns/op	 214.13 MB/s	         0.07377 compressed/original	     58015 compressed_bytes	  944743 B/op	      30 allocs/op
BenchmarkCompressorsCompress/binary/large/deflate-12        	     344	   3462474 ns/op	 227.13 MB/s	         0.07376 compressed/original	     58009 compressed_bytes	  944513 B/op	      26 allocs/op
BenchmarkCompressorsCompress/binary/large/zstd-12           	    1958	    614392 ns/op	1280.02 MB/s	         0.01992 compressed/original	     15666 compressed_bytes	19546308 B/op	      86 allocs/op
BenchmarkCompressorsCompress/binary/large/lz4-12            	    1942	    578394 ns/op	1359.68 MB/s	         0.1501 compressed/original	    118079 compressed_bytes	  126239 B/op	       6 allocs/op
BenchmarkCompressorsCompress/binary/large/snappy-12         	    2322	    496773 ns/op	1583.08 MB/s	         0.2065 compressed/original	    162368 compressed_bytes	  592016 B/op	       9 allocs/op
BenchmarkCompressorsCompress/random/small/gzip-12           	   22713	     56440 ns/op	  18.14 MB/s	         1.027 compressed/original	      1052 compressed_bytes	  815123 B/op	      20 allocs/op
BenchmarkCompressorsCompress/random/small/zlib-12           	   20487	     57124 ns/op	  17.93 MB/s	         1.016 compressed/original	      1040 compressed_bytes	  815082 B/op	      22 allocs/op
BenchmarkCompressorsCompress/random/small/deflate-12        	   22041	     57392 ns/op	  17.84 MB/s	         1.010 compressed/original	      1034 compressed_bytes	  814963 B/op	      19 allocs/op
BenchmarkCompressorsCompress/random/small/zstd-12           	   16246	     74146 ns/op	  13.81 MB/s	         1.015 compressed/original	      1039 compressed_bytes	 2329110 B/op	      31 allocs/op
BenchmarkCompressorsCompress/random/small/lz4-12            	 1000000	      1044 ns/op	 980.63 MB/s	         1.019 compressed/original	      1043 compressed_bytes	    1793 B/op	       6 allocs/op
BenchmarkCompressorsCompress/random/small/snappy-12         	  213546	      6197 ns/op	 165.23 MB/s	         1.018 compressed/original	      1042 compressed_bytes	  148816 B/op	       6 allocs/op
BenchmarkCompressorsCompress/random/medium/gzip-12          	    3156	    358924 ns/op	 136.94 MB/s	         1.001 compressed/original	     49190 compressed_bytes	  955282 B/op	      22 allocs/op
BenchmarkCompressorsCompress/random/medium/zlib-12          	    3254	    370399 ns/op	 132.70 MB/s	         1.001 compressed/original	     49178 compressed_bytes	  955240 B/op	      24 allocs/op
BenchmarkCompressorsCompress/random/medium/deflate-12       	    3406	    356521 ns/op	 137.87 MB/s	         1.000 compressed/original	     49172 compressed_bytes	  955122 B/op	      21 allocs/op
BenchmarkCompressorsCompress/random/medium/zstd-12          	   13845	     88314 ns/op	 556.56 MB/s	         1.000 compressed/original	     49166 compressed_bytes	 2385300 B/op	      31 allocs/op
BenchmarkCompressorsCompress/random/medium/lz4-12           	  120974	     11115 ns/op	4422.15 MB/s	         1.000 compressed/original	     49171 compressed_bytes	   59478 B/op	       6 allocs/op
BenchmarkCompressorsCompress/random/medium/snappy-12        	   80463	     14957 ns/op	3286.19 MB/s	         1.000 compressed/original	     49170 compressed_bytes	  205008 B/op	       6 allocs/op
BenchmarkCompressorsCompress/random/large/gzip-12           	     172	   6873184 ns/op	 114.42 MB/s	         1.000 compressed/original	    786695 compressed_bytes	 3412884 B/op	      26 allocs/op
BenchmarkCompressorsCompress/random/large/zlib-12           	     170	   7152580 ns/op	 109.95 MB/s	         1.000 compressed/original	    786683 compressed_bytes	 3412849 B/op	      28 allocs/op
BenchmarkCompressorsCompress/random/large/deflate-12        	     176	   6743686 ns/op	 116.62 MB/s	         1.000 compressed/original	    786677 compressed_bytes	 3412721 B/op	      25 allocs/op
BenchmarkCompressorsCompress/random/large/zstd-12           	    2800	    405417 ns/op	1939.81 MB/s	         1.000 compressed/original	    786463 compressed_bytes	21539173 B/op	      58 allocs/op
BenchmarkCompressorsCompress/random/large/lz4-12            	   10000	    108362 ns/op	7257.48 MB/s	         1.000 compressed/original	    786451 compressed_bytes	  806604 B/op	       6 allocs/op
BenchmarkCompressorsCompress/random/large/snappy-12         	    6322	    189504 ns/op	4149.95 MB/s	         1.000 compressed/original	    786538 compressed_bytes	 2433237 B/op	      10 allocs/op
