File: compression.test
Type: alloc_space
Time: 2026-07-08 01:06:20 KST
Showing nodes accounting for 736.56MB, 98.18% of 750.23MB total
Dropped 34 nodes (cum <= 3.75MB)
      flat  flat%   sum%        cum   cum%
  666.25MB 88.81% 88.81%   666.25MB 88.81%  bytes.growSlice
      64MB  8.53% 97.34%       64MB  8.53%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
    3.24MB  0.43% 97.77%    67.24MB  8.96%  github.com/klauspost/compress/zstd.(*doubleFastEncoder).Encode
       2MB  0.27% 98.04%    69.24MB  9.23%  github.com/klauspost/compress/zstd.(*Encoder).nextBlock.func1
    0.57MB 0.075% 98.11%     3.87MB  0.52%  github.com/klauspost/compress/zstd.(*Encoder).Reset
    0.50MB 0.067% 98.18%     6.87MB  0.92%  github.com/bluetape4k/bluetape-go/compression.(*zstdCompressor).Compress
         0     0% 98.18%   666.25MB 88.81%  bytes.(*Buffer).Write
         0     0% 98.18%   666.25MB 88.81%  bytes.(*Buffer).grow
         0     0% 98.18%     4.37MB  0.58%  github.com/bluetape4k/bluetape-go/compression.(*zstdCompressor).encoder
         0     0% 98.18%     3.87MB  0.52%  github.com/bluetape4k/bluetape-go/compression.All.Zstd.ZstdLevel.func11
         0     0% 98.18%     5.87MB  0.78%  github.com/bluetape4k/bluetape-go/compression_test.BenchmarkCompressorsCompress
         0     0% 98.18%     6.87MB  0.92%  github.com/bluetape4k/bluetape-go/compression_test.BenchmarkCompressorsCompress.func1.1
         0     0% 98.18%     5.37MB  0.72%  github.com/bluetape4k/bluetape-go/compression_test.benchmarkPayloads
         0     0% 98.18%   666.76MB 88.87%  github.com/klauspost/compress/zstd.(*Encoder).nextBlock.func1.2
         0     0% 98.18%       64MB  8.53%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0% 98.18%     3.87MB  0.52%  github.com/klauspost/compress/zstd.NewWriter
         0     0% 98.18%     4.37MB  0.58%  sync.(*Pool).Get
         0     0% 98.18%     4.93MB  0.66%  testing.(*B).launch
         0     0% 98.18%     8.30MB  1.11%  testing.(*B).run1.func1
         0     0% 98.18%    13.23MB  1.76%  testing.(*B).runN
