File: serialization.test
Type: alloc_space
Time: 2026-07-07 19:10:54 KST
Showing nodes accounting for 2094.99MB, 99.64% of 2102.55MB total
Dropped 39 nodes (cum <= 10.51MB)
      flat  flat%   sum%        cum   cum%
  626.20MB 29.78% 29.78%   626.20MB 29.78%  encoding/json.(*Decoder).refill
  456.14MB 21.69% 51.48%   456.14MB 21.69%  bytes.growSlice
  216.06MB 10.28% 61.75%   216.06MB 10.28%  reflect.mapassign_faststr0
  213.98MB 10.18% 71.93%   834.13MB 39.67%  encoding/json.Marshal
  191.09MB  9.09% 81.02%   191.09MB  9.09%  reflect.growslice
  124.01MB  5.90% 86.92%   124.01MB  5.90%  encoding/json.(*decodeState).literalStore
     117MB  5.56% 92.48%      117MB  5.56%  reflect.unsafe_New
   92.51MB  4.40% 96.88%   275.47MB 13.10%  encoding/json.mapEncoder.encode
   35.50MB  1.69% 98.57%    35.50MB  1.69%  reflect.makemap
      22MB  1.05% 99.62%   444.07MB 21.12%  encoding/json.(*decodeState).object
    0.50MB 0.024% 99.64%   834.63MB 39.70%  github.com/bluetape4k/bluetape-go/serialization.JSONSerializer[go.shape.[]github.com/bluetape4k/bluetape-go/serialization_test.benchmarkEvent].Marshal
         0     0% 99.64%   365.94MB 17.40%  bytes.(*Buffer).Write
         0     0% 99.64%    90.20MB  4.29%  bytes.(*Buffer).WriteString
         0     0% 99.64%   456.14MB 21.69%  bytes.(*Buffer).grow
         0     0% 99.64%  1261.36MB 59.99%  encoding/json.(*Decoder).Decode
         0     0% 99.64%   626.20MB 29.78%  encoding/json.(*Decoder).readValue
         0     0% 99.64%   635.16MB 30.21%  encoding/json.(*decodeState).array
         0     0% 99.64%   635.16MB 30.21%  encoding/json.(*decodeState).unmarshal
         0     0% 99.64%   635.16MB 30.21%  encoding/json.(*decodeState).value
         0     0% 99.64%   618.15MB 29.40%  encoding/json.(*encodeState).marshal
         0     0% 99.64%   618.15MB 29.40%  encoding/json.(*encodeState).reflectValue
         0     0% 99.64%   618.15MB 29.40%  encoding/json.arrayEncoder.encode
         0     0% 99.64%   618.15MB 29.40%  encoding/json.sliceEncoder.encode
         0     0% 99.64%   253.48MB 12.06%  encoding/json.stringEncoder
         0     0% 99.64%   618.15MB 29.40%  encoding/json.structEncoder.encode
         0     0% 99.64%  1261.86MB 60.02%  github.com/bluetape4k/bluetape-go/serialization.JSONSerializer[go.shape.[]github.com/bluetape4k/bluetape-go/serialization_test.benchmarkEvent].Unmarshal
         0     0% 99.64%  2095.90MB 99.68%  github.com/bluetape4k/bluetape-go/serialization_test.BenchmarkSerializationRoundTrip.runSerializationRoundTripBenchmark[go.shape.[]github.com/bluetape4k/bluetape-go/serialization_test.benchmarkEvent].func3
         0     0% 99.64%    33.50MB  1.59%  reflect.(*MapIter).Key
         0     0% 99.64%       37MB  1.76%  reflect.(*MapIter).Value
         0     0% 99.64%    35.50MB  1.69%  reflect.MakeMap (inline)
         0     0% 99.64%    35.50MB  1.69%  reflect.MakeMapWithSize
         0     0% 99.64%    46.50MB  2.21%  reflect.New
         0     0% 99.64%   191.09MB  9.09%  reflect.Value.Grow
         0     0% 99.64%   216.06MB 10.28%  reflect.Value.SetMapIndex
         0     0% 99.64%   191.09MB  9.09%  reflect.Value.grow
         0     0% 99.64%    70.50MB  3.35%  reflect.copyVal
         0     0% 99.64%   216.06MB 10.28%  reflect.mapassign_faststr
         0     0% 99.64%  2090.57MB 99.43%  testing.(*B).launch
         0     0% 99.64%  2100.04MB 99.88%  testing.(*B).runN
