timestamp_utc: 2026-08-16T02:25:06Z
git_sha: 3e14c7e0ad027c7d0187e7a0524f0a5db976e126
dirty_tree: false
capture_eligibility: eligible
no_regression: N/A
gin_version: v1.12.0
fixture_identity: gin-v1.12.0-parser-only-local
go_version: go version go1.26.6 darwin/arm64
goos: darwin
goarch: arm64
cpu: 1,2,4
logical_cpus: 10
benchmark_count: 5
max_output_bytes: 10485760
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkGinAdapter -benchmem -count=5 -cpu=1\,2\,4 ./web/gin
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/gin
cpu: Apple M5
BenchmarkGinAdapter/NoOp/Serial         	 1400583	       843.1 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial         	 1422969	       846.7 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial         	 1416102	       843.8 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial         	 1419430	       850.1 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial         	 1416906	       844.1 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-2       	 1507628	       790.0 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-2       	 1501135	       793.3 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-2       	 1517688	       792.3 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-2       	 1521756	       789.0 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-2       	 1514233	       793.9 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-4       	 1605361	       748.5 ns/op	    5361 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-4       	 1604364	       752.1 ns/op	    5361 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-4       	 1605732	       748.8 ns/op	    5361 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-4       	 1603881	       750.8 ns/op	    5361 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Serial-4       	 1584362	       746.3 ns/op	    5361 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel       	 1393528	       855.8 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel       	 1408370	       850.5 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel       	 1409230	       857.5 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel       	 1402936	       856.1 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel       	 1394649	       861.6 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel-2     	 1431051	       830.6 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel-2     	 1455415	       822.1 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel-2     	 1449735	       830.8 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel-2     	 1471863	       828.4 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel-2     	 1461415	       816.2 ns/op	    5360 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel-4     	 1605260	       746.1 ns/op	    5361 B/op	      13 allocs/op
BenchmarkGinAdapter/NoOp/Parallel-4     	 1569885	       748.6 ns/op	    5361 B/op	      13 allocs/op
