goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/echo
cpu: Apple M5
BenchmarkEchoAdapter/NoOp/Serial         	  144534	       756.7 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Serial         	  153295	       762.1 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Serial         	  155244	       758.0 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Serial         	  161601	       760.5 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Serial         	  153373	       762.5 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Parallel       	  153373	       758.0 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Parallel       	  163395	       757.8 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Parallel       	  162583	       768.0 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Parallel       	  162018	       823.4 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/NoOp/Parallel       	  158931	       757.1 ns/op	    5360 B/op	      13 allocs/op
BenchmarkEchoAdapter/DirectCore/Serial   	  111522	      1041 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Serial   	  114238	      1050 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Serial   	  118334	      1042 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Serial   	  114526	      1056 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Serial   	  113275	      1045 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Parallel 	  114852	      1031 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Parallel 	  114049	      1044 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Parallel 	  115440	      1048 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Parallel 	  112612	      1043 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/DirectCore/Parallel 	  114105	      1040 ns/op	    5840 B/op	      18 allocs/op
BenchmarkEchoAdapter/Bridge/Serial       	  108728	      1136 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Serial       	  105624	      1127 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Serial       	  105362	      1121 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Serial       	  106862	      1112 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Serial       	  106995	      1120 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Parallel     	  108315	      1126 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Parallel     	  104424	      1127 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Parallel     	  106164	      1117 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Parallel     	  105015	      1123 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/Bridge/Parallel     	  101966	      1128 ns/op	    5952 B/op	      19 allocs/op
BenchmarkEchoAdapter/FullAdapter/Serial  	   23785	      5041 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Serial  	   24008	      5061 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Serial  	   23964	      5041 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Serial  	   23722	      5006 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Serial  	   23780	      5041 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Parallel         	   23881	      5053 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Parallel         	   23757	      5042 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Parallel         	   23996	      5045 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Parallel         	   23846	      5054 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapter/Parallel         	   23696	      5007 ns/op	   12441 B/op	     103 allocs/op
BenchmarkEchoAdapter/FullAdapterRetry/Serial      	   21015	      5711 ns/op	   13569 B/op	     117 allocs/op
BenchmarkEchoAdapter/FullAdapterRetry/Serial      	   20918	      5688 ns/op	   13569 B/op	     117 allocs/op
BenchmarkEchoAdapter/FullAdapterRetry/Serial      	   21110	      5696 ns/op	   13569 B/op	     117 allocs/op
BenchmarkEchoAdapter/FullAdapterRetry/Serial      	   20494	      5717 ns/op	   13569 B/op	     117 allocs/op
BenchmarkEchoAdapter/FullAdapterRetry/Serial      	   20980	      5640 ns/op	   13569 B/op	     117 allocs/op
